approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
ACD,25070,ACD,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16)",4,TRUE
ACTRT1,24027,ACTRT1,"Genodermatoses with malignancies (id=201, version=1.9) | Multiple monogenic benign skin tumours (id=558, version=2.2)",2,FALSE
ADM,259,ADM,"GI tract tumours (id=254, version=1.22)",1,FALSE
AIP,358,AIP,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | Multiple endocrine tumours (id=36, version=1.14) | Parathyroid Cancer (id=86, version=1.4)",4,TRUE
AKT1,391,AKT1,"Childhood solid tumours (id=243, version=4.2) | Genodermatoses with malignancies (id=201, version=1.9)",2,FALSE
ALK,427,ALK,"Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Familial Tumours Syndromes of the central & peripheral Nervous system (id=167, version=1.14) | Cancer Predisposition_Paediatric (id=152, version=0.128)",4,TRUE
ANKRD26,29186,ANKRD26,"Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16)",2,TRUE
APC,583,APC,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | Brain cancer pertinent cancer susceptibility (id=166, version=1.2) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Colorectal cancer pertinent cancer susceptibility (id=244, version=1.0) | Familial Tumours Syndromes of the central & peripheral Nervous system (id=167, version=1.14) | GI tract tumours (id=254, version=1.22) | Inherited non-medullary thyroid cancer (id=171, version=1.5) | Inherited polyposis and early onset colorectal cancer - germline testing (id=504, version=2.4) | Multiple monogenic benign skin tumours (id=558, version=2.2) | Sarcoma susceptibility (id=734, version=1.73) | Cancer Predisposition_Paediatric (id=152, version=0.128)",13,TRUE
AR,644,AR,"Familial breast cancer (id=158, version=1.18) | Inherited ovarian cancer (without breast cancer) (id=143, version=4.1)",2,FALSE
ASXL1,18318,ASXL1,"Cancer Predisposition_Paediatric (id=152, version=0.128) | Wilms Tumour Predisposition (id=252, version=0.39)",2,TRUE
ATM,795,ATM,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | Brain cancer pertinent cancer susceptibility (id=166, version=1.2) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Familial breast cancer (id=158, version=1.18) | Familial Tumours Syndromes of the central & peripheral Nervous system (id=167, version=1.14) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16) | Inherited breast cancer and ovarian cancer (id=635, version=2.6) | Inherited ovarian cancer (without breast cancer) (id=143, version=4.1) | Inherited prostate cancer (id=1223, version=1.2) | Sarcoma susceptibility (id=734, version=1.73) | Cancer Predisposition_Paediatric (id=152, version=0.128)",14,TRUE
ATR,882,ATR,"Sarcoma susceptibility (id=734, version=1.73)",1,TRUE
ATRIP,33499,ATRIP,"Breast cancer pertinent cancer susceptibility (id=55, version=2.1) | Familial breast cancer (id=158, version=1.18)",2,FALSE
AXIN2,904,AXIN2,"Inherited polyposis and early onset colorectal cancer - germline testing (id=504, version=2.4)",1,TRUE
BAP1,950,BAP1,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | Inherited renal cancer (id=521, version=1.24) | Melanoma pertinent cancer susceptibility (id=133, version=1.0) | Cancer Predisposition_Paediatric (id=152, version=0.128) | Renal cancer (id=3278, version=0.4)",6,TRUE
BARD1,952,BARD1,"Familial breast cancer (id=158, version=1.18) | Inherited ovarian cancer (without breast cancer) (id=143, version=4.1)",2,FALSE
BLM,1058,BLM,"Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16) | Sarcoma susceptibility (id=734, version=1.73) | Cancer Predisposition_Paediatric (id=152, version=0.128) | Wilms Tumour Predisposition (id=252, version=0.39)",7,TRUE
BMPR1A,1076,BMPR1A,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Colorectal cancer pertinent cancer susceptibility (id=244, version=1.0) | GI tract tumours (id=254, version=1.22) | Inherited polyposis and early onset colorectal cancer - germline testing (id=504, version=2.4) | Cancer Predisposition_Paediatric (id=152, version=0.128)",8,TRUE
BRAF,1097,BRAF,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Inherited non-medullary thyroid cancer (id=171, version=1.5) | Multiple monogenic benign skin tumours (id=558, version=2.2) | Cancer Predisposition_Paediatric (id=152, version=0.128)",6,TRUE
BRCA1,1100,BRCA1,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | Breast cancer pertinent cancer susceptibility (id=55, version=2.1) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Familial breast cancer (id=158, version=1.18) | Familial prostate cancer (id=318, version=1.3) | GI tract tumours (id=254, version=1.22) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16) | Inherited breast cancer and ovarian cancer (id=635, version=2.6) | Inherited non-medullary thyroid cancer (id=171, version=1.5) | Inherited ovarian cancer (without breast cancer) (id=143, version=4.1) | Inherited pancreatic cancer (id=524, version=2.1) | Inherited prostate cancer (id=1223, version=1.2) | Ovarian cancer pertinent cancer susceptibility (id=117, version=2.1) | Cancer Predisposition_Paediatric (id=152, version=0.128)",17,TRUE
