approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
ABCA3,33,ABCA3,blueprintgenetics_hereditary_cancer,1,FALSE
ABCB7,48,ABCB7,blueprintgenetics_hereditary_cancer,1,FALSE
ABCG5,13886,ABCG5,blueprintgenetics_hereditary_cancer,1,FALSE
ABCG8,13887,ABCG8,blueprintgenetics_hereditary_cancer,1,FALSE
ABRAXAS1,25829,ABRAXAS1,cegat_tumor_syndromes_panel,1,FALSE
ACD,25070,ACD,blueprintgenetics_hereditary_cancer; cegat_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik,3,TRUE
ACTB,132,ACTB,blueprintgenetics_hereditary_cancer,1,FALSE
ACTN1,163,ACTN1,blueprintgenetics_hereditary_cancer,1,FALSE
ACVRL1,175,ACVRL1,centogene_solid_tumor_panel,1,FALSE
ADA2,1839,CECR1,blueprintgenetics_hereditary_cancer,1,FALSE
ADAMTS13,1366,ADAMTS13,blueprintgenetics_hereditary_cancer,1,FALSE
AIP,358,AIP,blueprintgenetics_hereditary_cancer; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; genedx_oncogenedx_custom_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,12,TRUE
AK1,361,AK1,blueprintgenetics_hereditary_cancer,1,FALSE
AK2,362,AK2,blueprintgenetics_hereditary_cancer,1,FALSE
AKT1,391,AKT1,centogene_solid_tumor_panel; cegat_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik,3,TRUE
ALAS2,397,ALAS2,blueprintgenetics_hereditary_cancer,1,FALSE
ALK,427,ALK,blueprintgenetics_hereditary_cancer; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; genedx_oncogenedx_custom_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,13,TRUE
AMN,14604,AMN,blueprintgenetics_hereditary_cancer,1,FALSE
ANK1,492,ANK1,blueprintgenetics_hereditary_cancer,1,FALSE
ANKRD26,29186,ANKRD26,blueprintgenetics_hereditary_cancer; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; genedx_oncogenedx_custom_panel,5,TRUE
AP3B1,566,AP3B1,blueprintgenetics_hereditary_cancer,1,FALSE
AP3D1,568,AP3D1,blueprintgenetics_hereditary_cancer,1,FALSE
APC,583,APC,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; myriadgenetics_myrisk_panel; genedx_oncogenedx_custom_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,16,TRUE
APOA1,600,APOA1,uchicago_comprehensive_hereditary_cancer_panel,1,FALSE
APOA2,601,APOA2,uchicago_comprehensive_hereditary_cancer_panel,1,FALSE
ARID1A,11110,ARID1A,uchicago_comprehensive_hereditary_cancer_panel,1,FALSE
ARMC5,25781,ARMC5,preventiongenetics_cancer_panel,1,FALSE
ARPC1B,704,ARPC1B,blueprintgenetics_hereditary_cancer,1,FALSE
ATM,795,ATM,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; myriadgenetics_myrisk_panel; genedx_oncogenedx_custom_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,15,TRUE
ATR,882,ATR,blueprintgenetics_hereditary_cancer; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; neogenomics_full_comprehensive_cancer_panel_germline,4,TRUE
ATRX,886,ATRX,blueprintgenetics_hereditary_cancer,1,FALSE
AXIN2,904,AXIN2,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; myriadgenetics_myrisk_panel; genedx_oncogenedx_custom_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,15,TRUE
BAP1,950,BAP1,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; myriadgenetics_myrisk_panel; genedx_oncogenedx_custom_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,15,TRUE
BARD1,952,BARD1,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; myriadgenetics_myrisk_panel; genedx_oncogenedx_custom_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,15,TRUE
BLM,1058,BLM,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline,11,TRUE
BLOC1S3,20914,BLOC1S3,blueprintgenetics_hereditary_cancer,1,FALSE
BLOC1S6,8549,BLOC1S6,blueprintgenetics_hereditary_cancer,1,FALSE
BMPR1A,1076,BMPR1A,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; myriadgenetics_myrisk_panel; genedx_oncogenedx_custom_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,15,TRUE
BRAF,1097,BRAF,blueprintgenetics_hereditary_cancer; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik,2,TRUE
BRCA1,1100,BRCA1,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; myriadgenetics_myrisk_panel; genedx_oncogenedx_custom_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,15,TRUE
BRCA2,1101,BRCA2,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; myriadgenetics_myrisk_panel; genedx_oncogenedx_custom_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,15,TRUE
BRIP1,20473,BRIP1,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; myriadgenetics_myrisk_panel; genedx_oncogenedx_custom_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,15,TRUE
BTK,1133,BTK,uchicago_comprehensive_hereditary_cancer_panel,1,FALSE
BUB1,1148,BUB1,mgz_erbliche_tumorerkrankungen_umfassende_diagnostik,1,FALSE
BUB1B,1149,BUB1B,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline,6,TRUE
CARD11,16393,CARD11,uchicago_comprehensive_hereditary_cancer_panel,1,FALSE
CASP10,1500,CASP10,uchicago_comprehensive_hereditary_cancer_panel,1,FALSE
CASR,1514,CASR,centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline,7,TRUE
CBL,1541,CBL,blueprintgenetics_hereditary_cancer; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel,3,TRUE
CD27,11922,CD27,uchicago_comprehensive_hereditary_cancer_panel,1,FALSE
CD40LG,11935,CD40LG,uchicago_comprehensive_hereditary_cancer_panel,1,FALSE
