approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
A1CF,24086,A1CF,somatic: melanoma; germline: NA,2,FALSE
ABI1,11320,ABI1,somatic: AML; germline: NA,3,FALSE
ABL1,76,ABL1,"somatic: CML, ALL, T-ALL; germline: NA",4,TRUE
ABL2,77,ABL2,somatic: AML; germline: NA,3,FALSE
ACKR3,23692,ACKR3,somatic: lipoma; germline: NA,3,FALSE
ACSL3,3570,ACSL3,somatic: prostate; germline: NA,3,FALSE
ACSL6,16496,ACSL6,"somatic: AML, AEL; germline: NA",2,FALSE
ACVR1,171,ACVR1,somatic: DIPG; germline: NA,3,FALSE
ACVR1B,172,ACVR1B,somatic: pancreatic cancer; germline: NA,3,FALSE
ACVR2A,173,ACVR2A,"somatic: large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus; germline: NA",3,FALSE
AFDN,7137,AFDN,somatic: AL; germline: NA,3,FALSE
AFF1,7135,AFF1,somatic: AL; germline: NA,3,FALSE
AFF3,6473,AFF3,"somatic: ALL, T-ALL; germline: NA",3,FALSE
AFF4,17869,AFF4,somatic: ALL; germline: NA,3,FALSE
AKAP9,379,AKAP9,somatic: papillary thyroid; germline: NA,2,FALSE
AKT1,391,AKT1,"somatic: breast, colorectal, ovarian, NSCLC; germline: NA",4,TRUE
AKT2,392,AKT2,"somatic: ovarian, pancreatic; germline: NA",3,FALSE
AKT3,393,AKT3,somatic: GBM; germline: NA,2,FALSE
ALDH2,404,ALDH2,somatic: leiomyoma; germline: NA,2,FALSE
ALK,427,ALK,"somatic: ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour; germline: neuroblastoma",5,TRUE
AMER1,26837,AMER1,somatic: Wilms tumour; germline: NA,4,TRUE
ANK1,492,ANK1,somatic: CCRCC; germline: NA,2,FALSE
APC,583,APC,"somatic: colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS; germline: colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS",5,TRUE
APOBEC3B,17352,APOBEC3B,somatic: NA; germline: breast cancer,3,FALSE
AR,644,AR,somatic: prostate; germline: NA,5,TRUE
ARAF,646,ARAF,"somatic: cholangiocarcinoma, lung adenocarcinoma, Langerhans cell histiocytosis; germline: NA",2,FALSE
ARHGAP26,17073,ARHGAP26,"somatic: AML, MDS; germline: NA",3,FALSE
ARHGAP35,4591,ARHGAP35,somatic: endometrial carcinoma; germline: NA,3,FALSE
ARHGAP5,675,ARHGAP5,"somatic: colon cancer, glioma; germline: NA",2,FALSE
ARHGEF10,14103,ARHGEF10,somatic: colon cancer; germline: NA,2,FALSE
ARHGEF10L,25540,ARHGEF10L,somatic: lymphoma; germline: NA,2,FALSE
ARHGEF12,14193,ARHGEF12,somatic: AML; germline: NA,3,FALSE
ARID1A,11110,ARID1A,"somatic: clear cell ovarian carcinoma, RCC, breast; germline: NA",4,TRUE
ARID1B,18040,ARID1B,"somatic: breast, hepatocellular carcinoma, clear cell ovarian carcinoma; germline: NA",4,TRUE
ARID2,18037,ARID2,somatic: hepatocellular carcinoma; germline: NA,4,TRUE
ARNT,700,ARNT,somatic: AML; germline: NA,3,FALSE
ASPM,19048,ASPM,"somatic: breast cancer, lung cancer, endometrial cancer, melanoma; germline: NA",3,FALSE
ASPSCR1,13825,ASPSCR1,somatic: alveolar soft part sarcoma; germline: NA,3,FALSE
ASXL1,18318,ASXL1,"somatic: MDS, CMML; germline: NA",4,TRUE
ASXL2,23805,ASXL2,"somatic: melanoma, CCRCC, AML; germline: NA",2,FALSE
ATF1,783,ATF1,"somatic: malignant melanoma of soft parts, angiomatoid fibrous histiocytoma; germline: NA",3,FALSE
ATIC,794,ATIC,somatic: ALCL; germline: NA,3,FALSE
ATM,795,ATM,"somatic: T-PLL; germline: leukaemia, lymphoma, medulloblastoma, glioma",5,TRUE
ATP1A1,799,ATP1A1,somatic: adrenal aldosterone producing adenoma; germline: NA,3,FALSE
ATP2B3,816,ATP2B3,somatic: adrenal aldosterone producing adenoma; germline: NA,3,FALSE
ATR,882,ATR,"somatic: endometrial, gastric, epithelial ovarian, myeloma; germline: oropharyngeal",5,TRUE
ATRX,886,ATRX,"somatic: pancreatic neuroendocrine tumours, paediatric GBM; germline: NA",4,TRUE
AXIN1,903,AXIN1,"somatic: colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma; germline: NA",4,TRUE
AXIN2,904,AXIN2,"somatic: colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma; germline: colorectal carcinoma",5,TRUE
B2M,914,B2M,"somatic: DLBCL, melanoma, colorectal adenocarcinoma; germline: NA",3,FALSE
BAP1,950,BAP1,"somatic: uveal melanoma, breast, NSCLC, RCC; germline: mesothelioma, skin and uveal melanoma, kidney cancer",5,TRUE
BARD1,952,BARD1,"somatic: breast cancer; germline: ovarian cancer, breast cancer, endometrioid cancer",4,TRUE
BAX,959,BAX,somatic: colorectal cancer; germline: NA,3,FALSE
BAZ1A,960,BAZ1A,"somatic: uterine carcinosarcoma, colon cancer; germline: NA",2,FALSE
BCL10,989,BCL10,somatic: MALT; germline: NA,3,FALSE
BCL11A,13221,BCL11A,somatic: B-CLL; germline: NA,3,FALSE
BCL11B,13222,BCL11B,somatic: T-ALL; germline: NA,3,FALSE
BCL2,990,BCL2,"somatic: NHL, CLL; germline: NA",3,FALSE
BCL2L12,13787,BCL2L12,"somatic: melanoma, SCC; germline: NA",2,FALSE
BCL3,998,BCL3,somatic: CLL; germline: NA,3,FALSE
BCL6,1001,BCL6,"somatic: NHL, CLL; germline: NA",3,FALSE
BCL7A,1004,BCL7A,somatic: BNHL; germline: NA,3,FALSE
BCL9,1008,BCL9,somatic: B-ALL; germline: NA,3,FALSE
BCL9L,23688,BCL9L,"somatic: colorectal cancer, endometrial carcinoma, gastric cancer; germline: NA",3,FALSE
