approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
ABCA5,35,ABCA5,OMIM:135400 (HP:0000169),1,TRUE
ABCB11,42,ABCB11,OMIM:601847 (HP:0001402),1,TRUE
ABL1,76,ABL1,OMIM:608232 (HP:0004848 | HP:0005506),1,TRUE
ACAN,319,ACAN,OMIM:165800 (HP:0100777),1,TRUE
ACVR1,171,ACVR1,OMIM:135100 (HP:0010566),1,TRUE
ADA,186,ADA,OMIM:102700 (HP:0012191); OMIM:102700 (HP:0012191); OMIM:102700 (HP:0012191); OMIM:102700 (HP:0012191),4,TRUE
ADA2,1839,ADA2,OMIM:615688 (HP:0005523),1,TRUE
ADH5,253,ADH5,OMIM:619151 (HP:0004808 | HP:0002863),1,TRUE
AIP,358,AIP,OMIM:102200 (HP:0002893 | HP:0040278 | HP:0011760 | HP:0006767); OMIM:102200 (HP:0002893 | HP:0040278 | HP:0011760 | HP:0006767); OMIM:102200 (HP:0002893 | HP:0040278 | HP:0011760 | HP:0006767); OMIM:102200 (HP:0002893 | HP:0040278 | HP:0011760 | HP:0006767),4,TRUE
AKT1,391,AKT1,OMIM:114480 (HP:0003002); OMIM:114500 (HP:0006716 | HP:0002891 | HP:0005584 | HP:0006740 | HP:0006753); OMIM:167000 (HP:0003002 | HP:0100621 | HP:0006774); OMIM:176920 (HP:0001012 | HP:0100764 | HP:0012032 | HP:0001028); OMIM:615109 (HP:0001031 | HP:0002858 | HP:0000854 | HP:0003002 | HP:0010619 | HP:0004390 | HP:0006740),5,TRUE
ALX3,449,ALX3,OMIM:136760 (HP:0007541 | HP:0006931),1,TRUE
ANTXR1,21014,ANTXR1,OMIM:602089 (HP:0005306),1,TRUE
ANTXR2,21732,ANTXR2,OMIM:228600 (HP:0000169),1,TRUE
AP2S1,565,AP2S1,OMIM:600740 (HP:0001012),1,TRUE
APC,583,APC,OMIM:114500 (HP:0006716 | HP:0002891 | HP:0005584 | HP:0006740 | HP:0006753); OMIM:114550 (HP:0001402); OMIM:135290 (HP:0003002 | HP:0003003 | HP:0100245 | HP:0200063); OMIM:175100 (HP:0001012 | HP:0002884 | HP:0030731 | HP:0004783 | HP:0100246 | HP:0011068 | HP:0006771 | HP:0008256 | HP:0005227 | HP:0002895 | HP:0003003 | HP:0010619 | HP:0004394 | HP:0010614 | HP:0100245 | HP:0009592 | HP:0006744 | HP:0002885 | HP:0006722); OMIM:175100 (HP:0001012 | HP:0002884 | HP:0030731 | HP:0004783 | HP:0100246 | HP:0011068 | HP:0006771 | HP:0008256 | HP:0005227 | HP:0002895 | HP:0003003 | HP:0010619 | HP:0004394 | HP:0010614 | HP:0100245 | HP:0009592 | HP:0006744 | HP:0002885 | HP:0006722); OMIM:175100 (HP:0001012 | HP:0002884 | HP:0030731 | HP:0004783 | HP:0100246 | HP:0011068 | HP:0006771 | HP:0008256 | HP:0005227 | HP:0002895 | HP:0003003 | HP:0010619 | HP:0004394 | HP:0010614 | HP:0100245 | HP:0009592 | HP:0006744 | HP:0002885 | HP:0006722); OMIM:175100 (HP:0001012 | HP:0002884 | HP:0030731 | HP:0004783 | HP:0100246 | HP:0011068 | HP:0006771 | HP:0008256 | HP:0005227 | HP:0002895 | HP:0003003 | HP:0010619 | HP:0004394 | HP:0010614 | HP:0100245 | HP:0009592 | HP:0006744 | HP:0002885 | HP:0006722); OMIM:613659 (HP:0012126); OMIM:619182 (HP:0033770 | HP:0033769),9,TRUE
AR,644,AR,OMIM:176807 (HP:0012125); OMIM:176807 (HP:0012125); OMIM:300068 (HP:0002664),3,TRUE
ARHGAP26,17073,ARHGAP26,OMIM:607785 (HP:0012209),1,TRUE
ARID1B,18040,ARID1B,OMIM:135900 (HP:0001028),1,TRUE
ASCC1,24268,ASCC1,OMIM:614266 (HP:0100580 | HP:0011459),1,TRUE
ASPSCR1,13825,ASPSCR1,OMIM:606243 (HP:0012218),1,TRUE
ASXL1,18318,ASXL1,OMIM:605039 (HP:0000329); OMIM:614286 (HP:0002863),2,TRUE
ATM,795,ATM,OMIM:114480 (HP:0003002); OMIM:114480 (HP:0003002); OMIM:208900 (HP:0012539 | HP:0012189 | HP:0002665 | HP:0001909 | HP:0006721),3,TRUE
ATP2B1,814,ATP2B1,OMIM:619910 (HP:0033522),1,TRUE
ATP7A,869,ATP7A,OMIM:304150 (HP:0002862 | HP:0003276 | HP:0100777),1,TRUE
ATP7B,870,ATP7B,OMIM:277900 (HP:0001402),1,TRUE
ATR,882,ATR,OMIM:614564 (HP:0003002 | HP:0025127 | HP:0012182),1,TRUE
ATRX,886,ATRX,OMIM:300448 (HP:0002863),1,TRUE
AURKA,11393,AURKA,OMIM:114500 (HP:0006716 | HP:0002891 | HP:0005584 | HP:0006740 | HP:0006753); OMIM:114500 (HP:0006716 | HP:0002891 | HP:0005584 | HP:0006740 | HP:0006753),2,TRUE
AXIN1,903,AXIN1,OMIM:114550 (HP:0001402),1,TRUE
AXIN2,904,AXIN2,OMIM:114500 (HP:0006716 | HP:0002891 | HP:0005584 | HP:0006740 | HP:0006753); OMIM:608615 (HP:0005227 | HP:0003002 | HP:0003003 | HP:0033769),2,TRUE
BAP1,950,BAP1,OMIM:606661 (HP:0007716); OMIM:614327 (HP:0012056 | HP:0007716 | HP:0030078 | HP:0005584 | HP:0002858 | HP:0100001),2,TRUE
BARD1,952,BARD1,OMIM:114480 (HP:0003002); OMIM:114480 (HP:0003002),2,TRUE
BAX,959,BAX,OMIM:114500 (HP:0006716 | HP:0002891 | HP:0005584 | HP:0006740 | HP:0006753); OMIM:613065 (HP:0006721),2,TRUE
BCL10,989,BCL10,OMIM:137245 (HP:0045038); OMIM:156240 (HP:0100001); OMIM:273300 (HP:0009792 | HP:0100768 | HP:0002898); OMIM:605027 (HP:0002665),4,TRUE
BCR,1014,BCR,OMIM:608232 (HP:0004848 | HP:0005506); OMIM:613065 (HP:0006721),2,TRUE
BLM,1058,BLM,OMIM:210900 (HP:0002860 | HP:0001909 | HP:0002665),1,TRUE
BMP2,1069,BMP2,OMIM:235200 (HP:0001402),1,TRUE
BMPER,24154,BMPER,OMIM:608022 (HP:0008643),1,TRUE
BMPR1A,1076,BMPR1A,OMIM:174900 (HP:0003003 | HP:0004394 | HP:0006771 | HP:0006753); OMIM:610069 (HP:0005227 | HP:0012198 | HP:0003003 | HP:0012183),2,TRUE
BRAF,1097,BRAF,OMIM:114500 (HP:0006716 | HP:0002891 | HP:0005584 | HP:0006740 | HP:0006753); OMIM:115150 (HP:0001054 | HP:0001048); OMIM:155600 (HP:0012056 | HP:0007716 | HP:0001054); OMIM:211980 (HP:0030358 | HP:0006519 | HP:0030078); OMIM:211980 (HP:0030358 | HP:0006519 | HP:0030078); OMIM:613706 (HP:0001054 | HP:0012059); OMIM:613707 (HP:0001054),7,TRUE
BRCA1,1100,BRCA1,OMIM:604370 (HP:0003002 | HP:0100615); OMIM:604370 (HP:0003002 | HP:0100615); OMIM:617883 (HP:0025318 | HP:0003002 | HP:0100615),3,TRUE
BRCA2,1101,BRCA2,OMIM:114480 (HP:0003002); OMIM:114480 (HP:0003002); OMIM:155255 (HP:0002885); OMIM:155255 (HP:0002885); OMIM:155255 (HP:0002885); OMIM:176807 (HP:0012125); OMIM:176807 (HP:0012125); OMIM:194070 (HP:0002667); OMIM:194070 (HP:0002667); OMIM:605724 (HP:0006727 | HP:0004808); OMIM:612555 (HP:0003002 | HP:0100615); OMIM:613029 (HP:0009592 | HP:0006727 | HP:0012174 | HP:0004808 | HP:0002667 | HP:0004812 | HP:0002885); OMIM:613347 (HP:0002894),13,TRUE
BRIP1,20473,BRIP1,OMIM:114480 (HP:0003002); OMIM:114480 (HP:0003002),2,TRUE
BTK,1133,BTK,OMIM:300755 (HP:0001402),1,TRUE
BUB1,1148,BUB1,OMIM:114500 (HP:0006716 | HP:0002891 | HP:0005584 | HP:0006740 | HP:0006753),1,TRUE
BUB1B,1149,BUB1B,OMIM:114500 (HP:0006716 | HP:0002891 | HP:0005584 | HP:0006740 | HP:0006753); OMIM:257300 (HP:0002667 | HP:0006743 | HP:0001909),2,TRUE
C1S,1247,C1S,OMIM:617174 (HP:0003003 | HP:0002667),1,TRUE
C2CD3,24564,C2CD3,OMIM:615948 (HP:0011802),1,TRUE
CALR,1455,CALR,OMIM:254450 (HP:0005547),1,TRUE
CARMIL2,27089,CARMIL2,OMIM:618131 (HP:0200043),1,TRUE
CASP10,1500,CASP10,OMIM:605027 (HP:0002665); OMIM:613659 (HP:0012126),2,TRUE
CASP8,1509,CASP8,OMIM:114480 (HP:0003002); OMIM:114480 (HP:0003002); OMIM:114550 (HP:0001402); OMIM:211980 (HP:0030358 | HP:0006519 | HP:0030078); OMIM:211980 (HP:0030358 | HP:0006519 | HP:0030078),5,TRUE
CASR,1514,CASR,OMIM:145980 (HP:0002897),1,TRUE
CBL,1541,CBL,OMIM:607785 (HP:0012209); OMIM:607785 (HP:0012209); OMIM:613563 (HP:0012209),3,TRUE
CCL2,10618,CCL2,OMIM:182940 (HP:0001012 | HP:0012032),1,TRUE
CCM2,21708,CCM2,OMIM:603284 (HP:0033522),1,TRUE
CCND1,1582,CCND1,OMIM:114500 (HP:0006716 | HP:0002891 | HP:0005584 | HP:0006740 | HP:0006753); OMIM:114500 (HP:0006716 | HP:0002891 | HP:0005584 | HP:0006740 | HP:0006753); OMIM:193300 (HP:0002894 | HP:0031207 | HP:0005584 | HP:0006880 | HP:0009711 | HP:0009713 | HP:0002668 | HP:0009715 | HP:0005954 | HP:0002666); OMIM:254500 (HP:0006775),4,TRUE
CD27,11922,CD27,OMIM:615122 (HP:0005523 | HP:0012189 | HP:0002665),1,TRUE
CD4,1678,CD4,OMIM:619238 (HP:0032215),1,TRUE
CD70,11937,CD70,OMIM:618261 (HP:0005523 | HP:0012189),1,TRUE
CDC73,16783,CDC73,OMIM:145001 (HP:0006735 | HP:0006725 | HP:0010566 | HP:0006780 | HP:0006781 | HP:0002667 | HP:0006766 | HP:0002897); OMIM:145001 (HP:0006735 | HP:0006725 | HP:0010566 | HP:0006780 | HP:0006781 | HP:0002667 | HP:0006766 | HP:0002897); OMIM:608266 (HP:0006780),3,TRUE
