number,diagnostic_panel_name,diagnostic_panel_source,type,use,method,subpanel_name,subpanel_source,comment,filename_download
1,blueprintgenetics_hereditary_cancer,https://blueprintgenetics.com/tests/panels/hereditary-cancer/,html,yes,read_html,"comprehensive-hematology-and-hereditary-cancer-panel, comprehensive-hereditary-cancer-panel, hereditary-breast-and-gynecological-cancer-panel, hereditary-breast-cancer-high-risk-panel, hereditary-cancer-high-risk-panel, hereditary-colorectal-cancer-panel, hereditary-endocrine-cancer-panel, hereditary-gastrointestinal-cancer-panel, hereditary-leukemia-panel, hereditary-lung-cancer-panel, hereditary-melanoma-and-skin-cancer-panel, hereditary-pancreatic-cancer-core-panel, hereditary-pancreatic-cancer-panel, hereditary-paraganglioma-pheochromocytoma-panel, hereditary-pediatric-cancer-panel, hereditary-renal-cancer-panel, neurofibromatosis-panel, tuberous-sclerosis-panel, xeroderma-pigmentosum-panel","https://blueprintgenetics.com/tests/panels/hematology/comprehensive-hematology-and-hereditary-cancer-panel/, https://blueprintgenetics.com/tests/panels/hereditary-cancer/comprehensive-hereditary-cancer-panel/, https://blueprintgenetics.com/tests/panels/hereditary-cancer/hereditary-breast-and-gynecological-cancer-panel/, https://blueprintgenetics.com/tests/panels/hereditary-cancer/hereditary-breast-cancer-high-risk-panel/, https://blueprintgenetics.com/tests/panels/hereditary-cancer/hereditary-cancer-high-risk-panel/, https://blueprintgenetics.com/tests/panels/hereditary-cancer/hereditary-colorectal-cancer-panel/, https://blueprintgenetics.com/tests/panels/hereditary-cancer/hereditary-endocrine-cancer-panel/, https://blueprintgenetics.com/tests/panels/hereditary-cancer/hereditary-gastrointestinal-cancer-panel/, https://blueprintgenetics.com/tests/panels/hematology/hereditary-leukemia-panel/, https://blueprintgenetics.com/tests/panels/hereditary-cancer/hereditary-lung-cancer-panel/, https://blueprintgenetics.com/tests/panels/dermatology/hereditary-melanoma-and-skin-cancer-panel/, https://blueprintgenetics.com/tests/panels/hereditary-cancer/hereditary-pancreatic-cancer-core-panel/, https://blueprintgenetics.com/tests/panels/hereditary-cancer/hereditary-pancreatic-cancer-panel/, https://blueprintgenetics.com/tests/panels/hereditary-cancer/hereditary-paraganglioma-pheochromocytoma-panel/, https://blueprintgenetics.com/tests/panels/hereditary-cancer/hereditary-pediatric-cancer-panel/, https://blueprintgenetics.com/tests/panels/hereditary-cancer/hereditary-renal-cancer-panel/, https://blueprintgenetics.com/tests/panels/dermatology/neurofibromatosis-panel/, https://blueprintgenetics.com/tests/panels/dermatology/tuberous-sclerosis-panel/, https://blueprintgenetics.com/tests/panels/dermatology/xeroderma-pigmentosum-panel/",maybe instead use https://blueprintgenetics.com/tests/panels/hereditary-cancer/ and all subpanels,data/downloads/blueprintgenetics_hereditary_cancer.2023-06-14.html
2,centogene_solid_tumor_panel,https://www.centogene.com/diagnostics/our-tests/ngs-panels/oncology,html,yes,read_html,NULL,NULL,NULL,data/downloads/centogene_solid_tumor_panel.2023-06-14.html
3,fulgentgenetics_comprehensivecancer_full,https://www.fulgentgenetics.com/comprehensivecancer-full,html,yes,read_html,NULL,NULL,NULL,data/downloads/fulgentgenetics_comprehensivecancer_full.2023-06-14.html
4,cegat_tumor_syndromes_panel,https://www.cegat.com/diagnostics/diagnostic-panels/tumor-syndromes/,html,yes,read_html,NULL,NULL,NULL,data/downloads/cegat_tumor_syndromes_panel.2023-06-14.html
5,invitae_tumor_syndromes_panel,https://www.invitae.com/en/providers/test-catalog/test-01101,html,yes,read_html,NULL,NULL,NULL,data/downloads/invitae_tumor_syndromes_panel.2023-06-14.html
6,mgz_erbliche_tumorerkrankungen_umfassende_diagnostik,https://www.mgz-muenchen.de/gen-panels/panel/erbliche-tumorerkrankungen-umfassende-diagnostik.html,html,yes,read_html,NULL,NULL,NULL,data/downloads/mgz_erbliche_tumorerkrankungen_umfassende_diagnostik.2023-06-14.html
7,uchicago_comprehensive_hereditary_cancer_panel,https://dnatesting.uchicago.edu/tests/comprehensive-hereditary-cancer-panel,html,yes,read_html,NULL,NULL,NULL,data/downloads/uchicago_comprehensive_hereditary_cancer_panel.2023-06-14.html
8,preventiongenetics_cancer_panel,https://www.preventiongenetics.com/testInfo?val=Cancer-Panel,html,yes,read_html,NULL,NULL,NULL,data/downloads/preventiongenetics_cancer_panel.2023-06-14.html
9,mayocliniclabs_xcp_hereditary_expanded_cancer_panel,https://www.mayocliniclabs.com/test-catalog/Overview/614318,html,yes,read_html,NULL,NULL,NULL,data/downloads/mayocliniclabs_xcp_hereditary_expanded_cancer_panel.2023-06-14.html
10,myriadgenetics_myrisk_panel,https://myriad.com/gene-table/,html,yes,read_html,NULL,NULL,additional information see also: https://myriad.com/genetic-tests/myrisk-germline-test/,data/downloads/myriadgenetics_myrisk_panel.2023-06-14.html
11,genedx_oncogenedx_custom_panel,https://www.genedx.com/tests/detail/oncogenedx-custom-panel-871,html,yes,read_html,NULL,NULL,NULL,data/downloads/genedx_oncogenedx_custom_panel.2023-06-14.html
12,arupconsult_hereditary_cancer_panel,https://arupconsult.com/ati/hereditary-cancer-panel,html,yes,read_html,NULL,NULL,NULL,data/downloads/arupconsult_hereditary_cancer_panel.2023-06-14.html
13,cancergeneticslab_hereditary_cancer_panel,http://cancergeneticslab.ca/genes/hereditary-cancer-panel/,html,yes,read_html,NULL,NULL,NULL,data/downloads/cancergeneticslab_hereditary_cancer_panel.2023-06-14.html
14,neogenomics_full_comprehensive_cancer_panel_germline,https://neogenomics.com/test-menu/full-comprehensive-cancer-panel-germline,html,yes,read_html,NULL,NULL,NULL,data/downloads/neogenomics_full_comprehensive_cancer_panel_germline.2023-06-14.html
15,natera_hereditary_cancer_test_comprehensive,https://www.natera.com/oncology/empower-hereditary-cancer-test/clinicians/,html,yes,read_html,NULL,NULL,NULL,data/downloads/natera_hereditary_cancer_test_comprehensive.2023-06-14.html
