approved_symbol,hgnc_id,evidence_count,list_count,00_InhousePanels,01_PanelApp,02_HPO,03_DiagnosticPanels,04_COSMIC
ABRAXAS1,25829,1,2,TRUE,NULL,NULL,FALSE,NULL
ACD,25070,3,3,TRUE,TRUE,NULL,TRUE,NULL
AIP,358,4,4,TRUE,TRUE,TRUE,TRUE,NULL
AKT1,391,4,5,TRUE,FALSE,TRUE,TRUE,TRUE
ALK,427,4,4,TRUE,TRUE,NULL,TRUE,TRUE
ANKRD26,29186,3,3,TRUE,TRUE,NULL,TRUE,NULL
APC,583,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
ARID1A,11110,2,3,TRUE,NULL,NULL,FALSE,TRUE
ARID1B,18040,3,3,TRUE,NULL,TRUE,NULL,TRUE
ATM,795,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
ATR,882,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
ATRX,886,3,4,TRUE,NULL,TRUE,FALSE,TRUE
AXIN2,904,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
BAP1,950,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
BARD1,952,4,5,TRUE,FALSE,TRUE,TRUE,TRUE
BLM,1058,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
BMPR1A,1076,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
BRAF,1097,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
BRCA1,1100,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
BRCA2,1101,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
BRIP1,20473,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
BUB1B,1149,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
CASR,1514,3,4,TRUE,FALSE,TRUE,TRUE,NULL
CBL,1541,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
CDC73,16783,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
CDH1,1748,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
CDK4,1773,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
CDKN1B,1785,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
CDKN1C,1786,4,4,TRUE,TRUE,TRUE,TRUE,NULL
CDKN2A,1787,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
CDKN2B,1788,3,3,TRUE,TRUE,NULL,TRUE,NULL
CEBPA,1833,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
CHEK2,16627,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
COL7A1,2214,2,2,TRUE,NULL,TRUE,NULL,NULL
CREBBP,2348,3,4,TRUE,FALSE,TRUE,NULL,TRUE
CSF3R,2439,3,5,TRUE,FALSE,TRUE,TRUE,FALSE
CTC1,26169,3,3,TRUE,TRUE,NULL,TRUE,NULL
CTNNA1,2509,2,3,TRUE,NULL,NULL,TRUE,FALSE
CTNNB1,2514,3,4,TRUE,FALSE,TRUE,NULL,TRUE
CTR9,16850,3,3,TRUE,TRUE,NULL,TRUE,NULL
CTRC,2523,1,2,TRUE,NULL,NULL,FALSE,NULL
