approved_symbol,hgnc_id,evidence_count,list_count,00_InhousePanels,01_PanelApp,02_HPO,03_DiagnosticPanels,04_COSMIC,A_IncidentalFindings,B_ManualCuration,include
ABRAXAS1,25829,2,2,TRUE,NULL,NULL,TRUE,NULL,NULL,NULL,TRUE
ACD,25070,3,3,TRUE,TRUE,NULL,TRUE,NULL,NULL,NULL,TRUE
AIP,358,4,4,TRUE,TRUE,TRUE,TRUE,NULL,NULL,NULL,TRUE
AKT1,391,4,5,TRUE,FALSE,TRUE,TRUE,TRUE,NULL,NULL,TRUE
ALK,427,4,4,TRUE,TRUE,NULL,TRUE,TRUE,NULL,NULL,TRUE
ANKRD26,29186,3,3,TRUE,TRUE,NULL,TRUE,NULL,NULL,NULL,TRUE
APC,583,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NULL,TRUE
ARID1A,11110,2,3,TRUE,NULL,NULL,FALSE,TRUE,NULL,NULL,TRUE
ARID1B,18040,3,3,TRUE,NULL,TRUE,NULL,TRUE,NULL,NULL,TRUE
ATM,795,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,NULL,NULL,TRUE
ATR,882,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,NULL,NULL,TRUE
ATRX,886,3,4,TRUE,NULL,TRUE,FALSE,TRUE,NULL,NULL,TRUE
AXIN2,904,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,NULL,NULL,TRUE
BAP1,950,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,NULL,NULL,TRUE
BARD1,952,4,5,TRUE,FALSE,TRUE,TRUE,TRUE,NULL,NULL,TRUE
BLM,1058,4,5,TRUE,TRUE,TRUE,TRUE,FALSE,NULL,NULL,TRUE
BMPR1A,1076,4,5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NULL,TRUE
BRAF,1097,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,NULL,NULL,TRUE
BRCA1,1100,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NULL,TRUE
BRCA2,1101,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NULL,TRUE
BRIP1,20473,4,5,TRUE,TRUE,TRUE,TRUE,FALSE,NULL,NULL,TRUE
BUB1B,1149,4,5,TRUE,TRUE,TRUE,TRUE,FALSE,NULL,NULL,TRUE
CASR,1514,3,4,TRUE,FALSE,TRUE,TRUE,NULL,NULL,NULL,TRUE
CBL,1541,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,NULL,NULL,TRUE
CDC73,16783,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,NULL,NULL,TRUE
CDH1,1748,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,NULL,NULL,TRUE
CDK4,1773,4,5,TRUE,TRUE,TRUE,TRUE,FALSE,NULL,NULL,TRUE
CDKN1B,1785,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,NULL,NULL,TRUE
CDKN1C,1786,4,4,TRUE,TRUE,TRUE,TRUE,NULL,NULL,NULL,TRUE
CDKN2A,1787,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,NULL,NULL,TRUE
CDKN2B,1788,3,3,TRUE,TRUE,NULL,TRUE,NULL,NULL,NULL,TRUE
CEBPA,1833,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,NULL,NULL,TRUE
CHEK2,16627,4,5,TRUE,TRUE,TRUE,TRUE,FALSE,NULL,NULL,TRUE
COL7A1,2214,2,2,TRUE,NULL,TRUE,NULL,NULL,NULL,NULL,TRUE
CREBBP,2348,3,4,TRUE,FALSE,TRUE,NULL,TRUE,NULL,NULL,TRUE
CSF3R,2439,3,5,TRUE,FALSE,TRUE,TRUE,FALSE,NULL,NULL,TRUE
CTC1,26169,3,3,TRUE,TRUE,NULL,TRUE,NULL,NULL,NULL,TRUE
CTNNA1,2509,2,3,TRUE,NULL,NULL,TRUE,FALSE,NULL,NULL,TRUE
CTNNB1,2514,3,4,TRUE,FALSE,TRUE,NULL,TRUE,NULL,NULL,TRUE
CTR9,16850,3,3,TRUE,TRUE,NULL,TRUE,NULL,NULL,NULL,TRUE
CTRC,2523,2,2,TRUE,NULL,NULL,TRUE,NULL,NULL,NULL,TRUE
CYLD,2584,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,NULL,NULL,TRUE
DDB2,2718,4,5,TRUE,TRUE,TRUE,TRUE,FALSE,NULL,NULL,TRUE
DDX41,18674,4,4,TRUE,TRUE,TRUE,TRUE,NULL,NULL,NULL,TRUE
DICER1,17098,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,NULL,NULL,TRUE
DIS3L2,28648,4,4,TRUE,TRUE,TRUE,TRUE,NULL,NULL,NULL,TRUE
DKC1,2890,4,4,TRUE,TRUE,TRUE,TRUE,NULL,NULL,NULL,TRUE
DNAJC21,27030,3,4,TRUE,TRUE,TRUE,FALSE,NULL,NULL,NULL,TRUE
DNMT3A,2978,3,4,TRUE,NULL,TRUE,FALSE,TRUE,NULL,NULL,TRUE
DNMT3B,2979,1,1,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DOCK8,19191,3,4,TRUE,TRUE,TRUE,FALSE,NULL,NULL,NULL,TRUE
EGFR,3236,4,4,TRUE,NULL,TRUE,TRUE,TRUE,NULL,NULL,TRUE
ELANE,3309,4,4,TRUE,TRUE,TRUE,TRUE,NULL,NULL,NULL,TRUE
